classe_gramatical,frequencia
NOUN,50975
PUNCT,39535
PROPN,18318
ADP,10183
NUM,7068
DET,6734
VERB,3387
CCONJ,2437
ADJ,2267
SCONJ,1027
AUX,888
ADV,599
PRON,577
PART,115
